 ,emotions
"এবার নিয়ে তিনবার লাস ভেগাসে গেছি। প্রতিবারই এই শো দেখেছি। দেখতে খুব ভালো লাগে। আমাদের নন্দনপার্কের টাও স্বল্প পরিসরে সুন্দর। আমার সবচেয়ে বেশি ভালো লেগেছে সিঙ্গাপুরের সান্তোসা আইল্যান্ডেরটা। 

",Joy
"আমার বুজি ডা: রাশিদা বেগম আমার বাসায় এসে আমাদের জন্য রান্না করেছেন সরিষা ইলিশ।

M. Rashida Begum",gratitude
সরিষা বাটা দিয়ে মজাদার ইলিশ রান্না হচ্ছে।,Joy
লাস ভেগাস হোটেল মিরাজের সামনে আগ্নেয়গিরির অগ্নুৎপাত।,Fear
দুই বছর আগের লেখা।,Remorse
এসব দেখলে কার না খুদা পায়! আমাদেরও পেয়েছিল। তাই তো সাবমেরিন রাইড শেষ করে তীরে ফিরে খেলুম ফিস এন্ড চিপস! #catalinaisland,Joy
হঠাৎ বৃষ্টি দেখে কবিতা লিখে ফেললাম।#rainyday,Realization
"সামান্য ক্ষতি কবিতাটার সাথে আমার শৈশবের মধুর স্মৃতি জড়িয়ে আছে। সেই স্মৃতিচারণমূলক নিচের লেখাটি আমার গল্পগ্রন্থ সহে না যাতনায় স্থান পেয়েছে। অবশেষে পুরা সাত পৃষ্ঠার কবিতাটা পড়েই ফেললাম। 

টেপ রেকর্ডার 

আমি ক্লাস ফাইভে পড়ি, ১৯৭৪ সাল। আমার বড় ভাই যুগোস্লাভিয়ায় পিএইচডি করছেন, ওখান থেকে এক বছর পরে দেশে এসে আমাদের গ্রামের বাড়ি এসেছেন। আমার বড় ভাই আমার চেয়ে প্রায় একুশ বছরের বড়।  ভাইকে দেখি,  অনেকটা আব্বার মত চেহারা,  তবে তাঁর চেয়ে লম্বা আর গায়ের রং লালচে ধরনের টকটকে ফর্সা। ঝকঝকে সাদা দাঁত বের করে হাসেন আর শুদ্ধ ভাষায় কথা বলেন।

অনেক দূরবর্তী নক্ষত্রের মতো এই মানুষটা আমার ভাই, বিশ্বাস হয় না! কিন্তু আমার আব্বা-মাকে, আব্বা- মা ডাকেন তাই একটু একটু বিশ্বাস হয়। আমাকে বড় ভাইবোনরা বলতো, 'তোকে কুড়িয়ে পেয়েছি' এ কথাটাও সত্যি হতে পারে। আমি যেন বর্ণ-গন্ধহীন ক্ষুদ্র এক ঘাসফুল, কেউ খেয়াল করে না, সবাই মাড়িয়ে চলে যায়। আমি আমার ক্ষুদ্র অস্তিত্ব নিয়ে খুবই বিব্রত, নক্ষত্র থেকে নিরাপদ দূরত্ব বজায় রেখে চলি। 

ভাবি ডাকলে কাছে যাই, একটু পরে পালিয়ে বাঁচি। আমার সমস্যা হলো, মুখ খুললেই 'বরিশাইল্লা' ভাষা বেরিয়ে আসবে, শুনে ভাবি যদি হাসেন! ভাবির ৭-৮ বৎসর হয় বিয়ে হয়েছে, অনেকবার এসেছেন। সবার সাথে গল্প করেন। কথা বুঝতে না পারলে আমার বোনেরা বুঝিয়ে দেন, ভাবির হাসার কোন কারন নেই।  

ভাইয়ের মেয়ে প্রায় আমার কাঁধ পর্যন্ত লম্বা, ওকে কোলে নিতে পারি না। ছেলের বয়স প্রায় তিন বৎসর, কোঁকড়া চুল, বড় বড় চোখ আর গোলগাল ফর্সা মুখ। কোলে নিতে ইচ্ছা করে। কিন্তু ভয় লাগে যদি কোলে নিতে গিয়ে ফেলে দিয়ে ব্যথা দিয়ে ফেলি!    

কথায় বলে, ""ঘরের শত্রু বিভীষণ"", আমার শত্রু আব্বাজান। তিনি আকাশের তারকা আমার ভাইজানকে বললেন যে আমি পড়ালেখায় খুব ভালো। ভালো বললেই তো হবে না, তার প্রমান দিতে হবে। আব্বা এবার পড়া ধরতে থাকেন মানসাঙ্ক,  এক কথায় প্রকাশ, শব্দার্থ, কবিতা ইত্যাদি। যেন পৃথিবীর সব সৌন্দর্য এসে ভর করেছে আমার পায়ের নখে, আমি মাথা নিচু করে পায়ের নখের দিকে তাকিয়ে তাকিয়ে সব প্রশ্নের উত্তর দিয়ে যাই, কবিতা পড়ি। পুরাই রেডিও বাংলাদেশের অনুষ্ঠানমালা। 

ভাইজান বাড়িতে আসা উপলক্ষে আত্মীয়-স্বজন, পাড়া-প্রতিবেশী সবাই তাঁর সঙ্গে দেখা করতে আসছেন। ঘরে সার্বক্ষণিক ভিড় লেগে আছে, আমার সুবিধা হচ্ছে আপাতত পড়ালেখা বন্ধ। একদিন আমার মামা, চাচা, ফুফা আরো অনেকেই আমদের ঘরের বারান্দায় বসে গল্প করছেন। 

আমার মামা আজহার হাওলাদার আর একজন চাচা তাঁর নামও আজহার হাওলাদার। দুইজনই আব্বা মায়ের সেকেন্ড বা থার্ড কাজিন হবেন। 
আজহার মামু জানতে চাইলেন, 'ও বাজান ওই দ্যাশে  নাকি অনেক শীত'?
- হ্যাঁ মামু, অনেক শীত। 
সবার হাজারো প্রশ্ন। লোকেরা কি খায়, কি পরে ইত্যাদি। 
একজন জানতে চাইলেন, 'হে দ্যাশে মাইনসে না কি পানির বদলে মদ খায়? তুমি আবার খাইও টাইও না'।  
আর একজন বলল, 'মাইয়ারা বলে উদলা পুদলা ঘোরে'?
আব্বা তাড়াতাড়ি কাশি দিয়ে জিব কেটে বলেন, 'পোলাপানের সাথে এইসব কি কও তোমরা'?   

ভাইজানের একটা টু-ইন-ওয়ান দেখে লোকজন জিজ্ঞেস করে, 'ওডা কি ট্যানজেস্টার'?
 - এটাতে রেডিও আছে আবার রেকর্ডার আর ক্যাসেট প্লেয়ার ও আছে। রেডিওতে তো ওরা যা প্রচার করে আমরা তাই শুনতে পাই। কিন্তু এই যে দেখেন ক্যাসেট এর মধ্যে গান আছে আমি আমার ইচ্ছা মতো গান বাজাতে পারি। আবার আমি আমার পছন্দমত গান রেকর্ড করতে ও পারবো। আপনারা কেউ কথা বললে সেটা এখানে রেকর্ড করা যাবে তারপরে আপনি শুনতে পারবেন। দাড়ান দেখাচ্ছি....
বলে ভাইজান আব্বাকে বললেন, 'আব্বা, রিনাকে ডাকেন, একটা কবিতা পড়ুক'। 
আমি কাছেই ছিলাম, আব্বা হাতের ইশারায় ডেকে বললেন, 'সামান্য  ক্ষতি কবিতাটা পড়'। 

আমি ঝরঝরে মুখস্থ কবিতা হড়বড়িয়ে বলে ফেললাম, 

সামান্য ক্ষতি
লিখেছেন কবি রবীন্দ্রনাথ ঠাকুর 

বহে মাঘমাসে শীতের বাতাস
স্বচ্ছসলিলা বরুণা।
পুরী হতে দূরে গ্রামে নির্জনে
শিলাময় ঘাট চম্পকবনে;
স্নানে চলেছেন শত সখীসনে
কাশীর মহিষী করুণা।
..................
আমার পড়া শেষ হলে ভাইজান রিওয়াইন্ড করে কবিতাটা বাজিয়ে শোনালেন। শোনার পরে সবাই অবাক হয়ে বলল, 'তাজ্জব ব্যাপার, এই রিনা,  তুই অইর মধ্যে ঢুকলি ক্যামমে'?

আমিও তো অবাক ! সত্যিই তো আমার পড়া কবিতা কেমন করে ওটার মধ্যে থেকে বের হচ্ছে, আশ্চর্য !",Cuiriosity
"হলুদ গোলাপ ফুটে আছে এক কোনে,             রূপে-গন্ধে সেরা সে যে সবাই জানে।                মৃদুমন্দ বাতাস তাকে আদর বুলায়,                খুশিতে সে নেচে উঠে মাথা দোলায়।             ঝরে যাবে, আর মাত্র দুই একটা দিন।    আমরাও যাবো, বাকি আছে কার কতদিন?     জেসমিন #roses",Remorse
"কানাডা এবং আমেরিকার শীতপ্রধান অঙ্গরাজ্যসমূহে চলছে শীতের আগমনী বার্তা। গাছের পাতা ঝরে পরার আগে কমলা, হলুদ, লাল, গোলাপি নানা রঙে সেজেছে। আমাদের এখানে বাংলাদেশের মতো গাছপালা সব সময় সবুজ। #losangeles #montereypark",Grief
"ছেলেবেলায় প্লেনের শব্দ শুনলে দৌড়ে ঘরের বাইরে এসে প্লেন দেখতাম যতক্ষণ না দৃষ্টিসীমার বাইরে চলে যায়। বড়বেলায় এসেও অবস্থার খুব একটা উন্নতি হয়নি। মধ্যাহ্ন বিরতিতে অফিস এলাকায় হাঁটার সময় প্লেন দেখে চমকে তাকালাম। ফোনের ক্যামেরায় ভিডিও করা শুরু করতে করতে অনেক দূরে চলে গেছে। অনেকগুলো দেখেছি, মাত্র দুইটার ভিডিও করতে পারলাম। #aeroplane",Cuiriosity
